published,title,url,views
2015-07-28,Childhood Is Evolution’s Way of Performing Simulated Annealing: A life history perspective on explore-exploit tensions,http://videolectures.net/rldm2015_gopnik_simulated_annealing,70
2015-09-27,Deterministic Independent Component Analysis,http://videolectures.net/icml2015_szepesvari_component_analysis,69
2015-09-27,Distributed Gaussian Processes,http://videolectures.net/icml2015_deisenroth_distributed_gaussian_processes,68
2015-09-27,Sparse Subspace Clustering with Missing Entries,http://videolectures.net/icml2015_vidal_sparse_subspace_clustering,68
2015-07-28,The formation of habits: A computational model mixing reinforcement learning and Hebbian learning,http://videolectures.net/rldm2015_topalidou_hebbian_learning,68
2016-10-05,A Big Data Perspective,http://videolectures.net/kdd2016_yu_big_data_perspective,68
2016-10-05,Award Ceremony,http://videolectures.net/kdd2016_award_ceremony,67
2016-11-07,Sequential Hypothesis Tests for  Markov Models of Time-Series Data,http://videolectures.net/kdd2016_virani_markov_models,67
2015-07-15,Low-cost Open Data As-a-Service in the Cloud,http://videolectures.net/eswc2015_dimitrov_open_data,67
2015-12-05,Towards a Learning Theory of Cause-Effect Inference,http://videolectures.net/icml2015_muandet_learning_theory,67
2016-03-07,Information-theoretic bounds on learning network dynamics,http://videolectures.net/netadis2015_montanari_network_dynamics,66
2016-02-10,Weakly supervised graph based semantic segmentation by learning communities of image-parts,http://videolectures.net/iccv2015_rahimi_supervised_graph,66
2016-10-24,Real-Time 3D Reconstruction and 6-DoF Tracking with an Event Camera,http://videolectures.net/eccv2016_kim_event_camera,66
2016-10-24,Grounding of Textual Phrases in Images by Reconstruction,http://videolectures.net/eccv2016_rohrbach_textual_phrases,65
2015-07-02,Multimodal Machine Learning: Modeling Human Communication Dynamics,http://videolectures.net/fgconference2015_morency_human_communication,65
2016-02-10,Learning Query and Image Similarities With Ranking Canonical Correlation Analysis,http://videolectures.net/iccv2015_yao_image_similarities,65
2016-02-23,Awards,http://videolectures.net/iccv2015_awards,64
2016-11-10,Artificial Intelligence to Win the Nobel Prize and Beyond: Creating the Engine for Scientific Discovery,http://videolectures.net/iswc2016_kitano_artificial_intelligence,64
2015-09-27,The Ladder: A Reliable Leaderboard for Machine Learning Competitions,http://videolectures.net/icml2015_hardt_reliable_leaderboard,64
2015-12-05,A Lower Bound for the Optimization of Finite Sums,http://videolectures.net/icml2015_agarwal_lower_bound,64
2016-10-24,Beyond Correlation Filters: Learning Continuous Convolution Operators for Visual Tracking,http://videolectures.net/eccv2016_danelljan_visual_tracking,64
2015-09-27,A Convex Optimization Framework for Bi-Clustering,http://videolectures.net/icml2015_xu_convex_optimization_framework,64
2015-09-27,Towards a Lower Sample Complexity for Robust One-bit Compressed Sensing,http://videolectures.net/icml2015_zhu_compressed_sensing,63
2016-02-10,Generating Notifications for Missing Actions: Don't Forget to Turn the Lights Off!,http://videolectures.net/iccv2015_soran_missing_actions,62
2015-09-27,Controversy in mechanistic modelling with Gaussian processes,http://videolectures.net/icml2015_macdonald_husmeier_mechanistic_modelling,62
2016-08-31,The Evolving Meaning of Information Security,http://videolectures.net/kdd2016_diffie_information_security,62
2015-09-27,Algorithms for the Hard Pre-Image Problem of String Kernels and the General Problem of String Prediction,http://videolectures.net/icml2015_rolland_string_prediction,62
2015-07-28,The Role of Orbitofrontal Cortex in Cognitive Planning in the Rat,http://videolectures.net/rldm2015_miller_cognitive_planning,62
2016-02-10,Robust Nonrigid Registration by Convex Optimization,http://videolectures.net/iccv2015_chen_convex_optimization,61
2016-02-10,Partial Person Re-Identification,http://videolectures.net/iccv2015_xiang_partial_person,61
2016-02-10,Training a Feedback Loop for Hand Pose Estimation,http://videolectures.net/iccv2015_oberweger_feedback_loop,60
2016-02-10,3D-Assisted Feature Synthesis for Novel Views of an Object,http://videolectures.net/iccv2015_su_feature_synthesis,60
